Engineered,Normal,Ligand,Catalyst,Substrate,Solvent,Reaction,VSA,Structural,Electronic,Experimental
,NumAromaticHeterocycles_Lig,,,,,,VSA_EState4_Cat,Ligand_Makita_L7,,
,NumAromaticHeterocycles_Sol,,,,,,VSA_EState4_Lig,Ligand_Makita_L8,,
,NumAromaticHeterocycles_Sub,,,,,,VSA_EState4_Sol,Ligand_Makita_L9,,
,NumAromaticRings_Cat,,,,,,VSA_EState4_Sub,Ligand_Malkov_L1,,
,NumAromaticRings_Lig,,,,,,VSA_EState5_Cat,Ligand_Malkov_L2,,
,NumAromaticRings_Sol,,,,,,VSA_EState5_Lig,Ligand_Malkov_L3,,
,NumAromaticRings_Sub,,,,,,VSA_EState5_Sol,Ligand_Michaelson_L1,,
,NumHAcceptors_Cat,,,,,,VSA_EState5_Sub,Ligand_Michaelson_L2,,
,NumHAcceptors_Lig,,,,,,VSA_EState6_Cat,Ligand_Michaelson_L3,,
,NumHAcceptors_Sol,,,,,,VSA_EState6_Lig,Ligand_Monfared_L1,,
,NumHAcceptors_Sub,,,,,,VSA_EState6_Sol,Ligand_Murase_L1,,
,NumHDonors_Cat,,,,,,VSA_EState6_Sub,Ligand_Murase_L2,,
,NumHDonors_Lig,,,,,,VSA_EState7_Cat,Ligand_Murase_L3,,
,NumHDonors_Sol,,,,,,VSA_EState7_Lig,Ligand_Pereira_L10,,
,NumHDonors_Sub,,,,,,VSA_EState7_Sol,Ligand_Pereira_L11,,
,NumHeteroatoms_Cat,,,,,,VSA_EState7_Sub,Ligand_Pereira_L12,,
,NumHeteroatoms_Lig,,,,,,VSA_EState8_Cat,Ligand_Pereira_L13,,
,NumHeteroatoms_Sol,,,,,,VSA_EState8_Lig,Ligand_Pereira_L14,,
,NumHeteroatoms_Sub,,,,,,VSA_EState8_Sol,Ligand_Pereira_L15,,
,NumRadicalElectrons_Cat,,,,,,VSA_EState8_Sub,Ligand_Pereira_L2,,
,NumRadicalElectrons_Lig,,,,,,VSA_EState9_Cat,Ligand_Pereira_L3,,
,NumRadicalElectrons_Sol,,,,,,VSA_EState9_Lig,Ligand_Pereira_L4,,
,NumRadicalElectrons_Sub,,,,,,VSA_EState9_Sol,Ligand_Pereira_L5,,
,NumRotatableBonds_Cat,,,,,,VSA_EState9_Sub,Ligand_Pereira_L6,,
,NumRotatableBonds_Lig,,,,,,TPSA_Cat,Ligand_Pereira_L7,,
,NumRotatableBonds_Sol,,,,,,TPSA_Lig,Ligand_Pereira_L8,,
,NumRotatableBonds_Sub,,,,,,TPSA_Sol,Ligand_Pereira_L9,,
,NumSaturatedCarbocycles_Cat,,,,,,TPSA_Sub,Ligand_Zhang_B_L1,,
,NumSaturatedCarbocycles_Lig,,,,,,,Ligand_Zhang_B_L2,,
,NumSaturatedCarbocycles_Sol,,,,,,,Ligand_Zhang_B_L3,,
,NumSaturatedCarbocycles_Sub,,,,,,,Ligand_Zhang_L1,,
,NumSaturatedHeterocycles_Cat,,,,,,,Ligand_Zhang_L2,,
,NumSaturatedHeterocycles_Lig,,,,,,,Ligand_Zhang_L3,,
,NumSaturatedHeterocycles_Sol,,,,,,,Oxidant_CHP,,
,NumSaturatedHeterocycles_Sub,,,,,,,Oxidant_Group,,
,NumSaturatedRings_Cat,,,,,,,Oxidant_H2O2,,
,NumSaturatedRings_Lig,,,,,,,Oxidant_MCYHP,,
,NumSaturatedRings_Sol,,,,,,,Oxidant_TBHP,,
,NumSaturatedRings_Sub,,,,,,,Oxidant_TrOOH,,
,NumValenceElectrons_Cat,,,,,,,Solvent_acetone,,
,NumValenceElectrons_Lig,,,,,,,Solvent_ACN,,
,NumValenceElectrons_Sol,,,,,,,Solvent_chloroform,,
,NumValenceElectrons_Sub,,,,,,,Solvent_dichloromethane,,
,Oxidant_CHP,,,,,,,Solvent_ethyl_acetate,,
,Oxidant_Group,,,,,,,Solvent_Group,,
,Oxidant_H2O2,,,,,,,Solvent_THF,,
,Oxidant_MCYHP,,,,,,,Solvent_toluene,,
,Oxidant_quant_mmol,,,,,,,Solvent_water,,
,Oxidant_TBHP,,,,,,,,,
,Oxidant_TrOOH,,,,,,,,,
,PEOE_VSA1_Cat,,,,,,,,,
,PEOE_VSA1_Lig,,,,,,,,,
,PEOE_VSA1_Sol,,,,,,,,,
,PEOE_VSA1_Sub,,,,,,,,,
,PEOE_VSA10_Cat,,,,,,,,,
